0,6.99875e-021nan,
1,1.59441e-019,5.36108e-016,
2,2.24743e-019,7.59037e-016,
3,3.22353e-019,1.2298e-015,
4,4.28554e-019,2.02707e-015,
5,5.28713e-019,3.24173e-015,
6,6.1515e-019,4.85422e-015,
7,6.85331e-019,6.69669e-015,
8,7.3888e-019,8.46445e-015,
9,7.75881e-019,9.79297e-015,
10,7.96536e-019,1.03766e-014,
11,8.01228e-019,1.01137e-014,
12,7.89653e-019,9.07933e-015,
13,7.61964e-019,7.55691e-015,
14,7.18194e-019,5.8969e-015,
15,6.58747e-019,4.4019e-015,
16,5.85504e-019,3.24967e-015,
17,5.04508e-019,2.48289e-015,
18,4.29925e-019,2.0554e-015,
19,3.86063e-019,1.90928e-015,
20,3.93074e-019,2.05043e-015,
21,4.46914e-019,2.5303e-015,
22,5.26757e-019,3.4379e-015,
23,6.12675e-019,4.87915e-015,
24,6.92848e-019,6.90533e-015,
25,7.62161e-019,9.43439e-015,
26,8.18748e-019,1.22e-014,
27,8.61879e-019,1.47733e-014,
28,8.91139e-019,1.66706e-014,
29,9.06247e-019,1.75126e-014,
30,9.07075e-019,1.71607e-014,
31,8.93666e-019,1.57645e-014,
32,8.66213e-019,1.36969e-014,
33,8.25056e-019,1.14133e-014,
34,7.70861e-019,9.30259e-015,
35,7.0538e-019,7.59284e-015,
36,6.33818e-019,6.34046e-015,
37,5.67903e-019,5.48984e-015,
38,5.26133e-019,4.97146e-015,
39,5.25009e-019,4.78213e-015,
40,5.64247e-019,4.96337e-015,
41,6.27484e-019,5.5547e-015,
42,6.96992e-019,6.59185e-015,
43,7.61828e-019,8.072e-015,
44,8.16901e-019,9.88872e-015,
45,8.6013e-019,1.18024e-014,
46,8.90542e-019,1.34654e-014,
47,9.07412e-019,1.45069e-014,
48,9.1015e-019,1.46511e-014,
49,8.98507e-019,1.38172e-014,
50,8.72755e-019,1.21558e-014,
51,8.3313e-019,9.99556e-015,
52,7.79889e-019,7.72513e-015,
53,7.13804e-019,5.67557e-015,
54,6.36883e-019,4.04182e-015,
55,5.53813e-019,2.87178e-015,
56,4.74057e-019,2.10476e-015,
57,4.13146e-019,1.63814e-015,
58,3.8723e-019,1.40112e-015,
59,4.00446e-019,1.37595e-015,
60,4.40454e-019,1.56423e-015,
61,4.90137e-019,1.97411e-015,
62,5.37848e-019,2.61861e-015,
63,5.77949e-019,3.48573e-015,
64,6.08464e-019,4.50268e-015,
65,6.28844e-019,5.51788e-015,
66,6.39072e-019,6.32541e-015,
67,6.39038e-019,6.72508e-015,
68,6.28181e-019,6.60044e-015,
69,6.06149e-019,5.96138e-015,
70,5.72641e-019,4.94816e-015,
71,5.27849e-019,3.77611e-015,
72,4.72578e-019,2.66217e-015,
73,4.08458e-019,1.75504e-015,
74,3.38753e-019,1.10823e-015,
75,2.7028e-019,6.98291e-016,
76,2.14155e-019,4.64979e-016,
77,1.8359e-019,3.56347e-016,
78,1.87004e-019,3.47074e-016,
79,2.21083e-019,4.3818e-016,
80,2.73942e-019,6.59493e-016,
81,3.32775e-019,1.05891e-015,
82,3.89816e-019,1.67642e-015,
83,4.40617e-019,2.50199e-015,
84,4.8294e-019,3.44784e-015,
85,5.15869e-019,4.35516e-015,
86,5.38771e-019,5.0343e-015,
87,5.51326e-019,5.33369e-015,
88,5.53373e-019,5.19428e-015,
89,5.45037e-019,4.67271e-015,
90,5.26421e-019,3.91006e-015,
91,4.9807e-019,3.07874e-015,
92,4.60716e-019,2.32025e-015,
93,4.15886e-019,1.71492e-015,
94,3.66968e-019,1.28065e-015,
95,3.20566e-019,9.99169e-016,
96,2.8736e-019,8.47743e-016,
97,2.78754e-019,8.18633e-016,
98,2.99808e-019,9.20316e-016,
99,3.45892e-019,1.17878e-015,
100,4.06165e-019,1.64226e-015,
101,4.70402e-019,2.36494e-015,
102,5.32067e-019,3.37025e-015,
103,5.87443e-019,4.61298e-015,
104,6.34347e-019,5.96247e-015,
105,6.7201e-019,7.22576e-015,
106,6.99048e-019,8.17582e-015,
107,7.15099e-019,8.63793e-015,
108,7.19849e-019,8.53919e-015,
109,7.13508e-019,7.93612e-015,
