0,5.21227e-023nan,
1,1.1732e-021,3.03793e-020,
2,1.51878e-021,4.12629e-020,
3,2.00785e-021,6.30213e-020,
4,2.52037e-021,9.77953e-020,
5,2.98633e-021,1.46115e-019,
6,3.37596e-021,2.04819e-019,
7,3.67907e-021,2.66197e-019,
8,3.89203e-021,3.19166e-019,
9,4.01244e-021,3.52281e-019,
10,4.03797e-021,3.57582e-019,
11,3.96648e-021,3.33637e-019,
12,3.7962e-021,2.8609e-019,
13,3.52668e-021,2.25674e-019,
14,3.16022e-021,1.64333e-019,
15,2.7067e-021,1.11427e-019,
16,2.19408e-021,7.16239e-020,
17,1.68576e-021,4.50691e-020,
18,1.28614e-021,2.95343e-020,
19,1.10194e-021,2.25927e-020,
20,1.17861e-021,2.2721e-020,
21,1.47116e-021,3.00194e-020,
22,1.88184e-021,4.63717e-020,
23,2.31932e-021,7.43958e-020,
24,2.7248e-021,1.15166e-019,
25,3.06782e-021,1.65944e-019,
26,3.33365e-021,2.19155e-019,
27,3.51482e-021,2.63731e-019,
28,3.60763e-021,2.8871e-019,
29,3.61052e-021,2.87481e-019,
30,3.52402e-021,2.60579e-019,
31,3.35056e-021,2.1543e-019,
32,3.09466e-021,1.63254e-019,
33,2.76389e-021,1.14713e-019,
34,2.37087e-021,7.64436e-020,
35,1.93981e-021,5.00639e-020,
36,1.51769e-021,3.35504e-020,
37,1.18678e-021,2.39079e-020,
38,1.04402e-021,1.95369e-020,
39,1.12973e-021,2.04148e-020,
40,1.39316e-021,2.70314e-020,
41,1.7486e-021,4.07634e-020,
42,2.12519e-021,6.36104e-020,
43,2.47741e-021,9.63532e-020,
44,2.78032e-021,1.36726e-019,
45,3.02042e-021,1.78792e-019,
46,3.18953e-021,2.14071e-019,
47,3.28207e-021,2.34269e-019,
48,3.29447e-021,2.34337e-019,
49,3.22542e-021,2.14483e-019,
50,3.07536e-021,1.79943e-019,
51,2.84791e-021,1.38932e-019,
52,2.55015e-021,9.95357e-020,
53,2.1951e-021,6.72578e-020,
54,1.80794e-021,4.4128e-020,
55,1.43532e-021,2.94649e-020,
56,1.14699e-021,2.14483e-020,
57,1.02146e-021,1.84918e-020,
58,1.09274e-021,1.99698e-020,
59,1.32375e-021,2.60753e-020,
60,1.64303e-021,3.78503e-020,
61,1.98567e-021,5.67856e-020,
62,2.30919e-021,8.35994e-020,
63,2.58953e-021,1.1682e-019,
64,2.81353e-021,1.52128e-019,
65,2.97347e-021,1.82929e-019,
66,3.06447e-021,2.02311e-019,
67,3.08322e-021,2.05488e-019,
68,3.02808e-021,1.91668e-019,
69,2.89943e-021,1.6436e-019,
70,2.69987e-021,1.29975e-019,
71,2.43578e-021,9.54457e-020,
72,2.1203e-021,6.59652e-020,
73,1.7789e-021,4.40029e-020,
74,1.44851e-021,2.96135e-020,
75,1.17968e-021,2.13799e-020,
76,1.03616e-021,1.78365e-020,
77,1.06202e-021,1.83728e-020,
78,1.2461e-021,2.33064e-020,
79,1.53177e-021,3.36603e-020,
80,1.8544e-021,5.05805e-020,
81,2.1645e-021,7.44416e-020,
82,2.4339e-021,1.03784e-019,
83,2.64967e-021,1.34809e-019,
84,2.80518e-021,1.6194e-019,
85,2.89641e-021,1.79384e-019,
86,2.92085e-021,1.83128e-019,
87,2.87765e-021,1.72437e-019,
88,2.76728e-021,1.50059e-019,
89,2.59231e-021,1.21176e-019,
90,2.35812e-021,9.14869e-020,
91,2.07541e-021,6.54601e-020,
92,1.76327e-021,4.53899e-020,
93,1.45288e-021,3.15153e-020,
94,1.19333e-021,2.28968e-020,
95,1.04283e-021,1.85999e-020,
96,1.03849e-021,1.81055e-020,
97,1.17838e-021,2.141e-020,
98,1.42534e-021,2.92007e-020,
99,1.71704e-021,4.2542e-020,
100,2.00494e-021,6.20455e-020,
101,2.26342e-021,8.6989e-020,
102,2.47783e-021,1.14606e-019,
103,2.6394e-021,1.40311e-019,
104,2.74224e-021,1.58804e-019,
105,2.78261e-021,1.6585e-019,
106,2.75871e-021,1.59813e-019,
107,2.67049e-021,1.42233e-019,
108,2.52076e-021,1.17311e-019,
109,2.31428e-021,9.02191e-020,
110,2.05991e-021,6.54987e-020,
111,1.77262e-021,4.58567e-020,
112,1.47921e-021,3.1975e-020,
113,1.22216e-021,2.32318e-020,
114,1.04976e-021,1.86358e-020,
115,1.00211e-021,1.74627e-020,
116,1.08851e-021,1.95779e-020,
117,1.2815e-021,2.53377e-020,
118,1.53156e-021,3.5454e-020,
119,1.79744e-021,5.05756e-020,
120,2.0497e-021,7.05839e-020,
121,2.2683e-021,9.39017e-020,
122,2.44168e-021,1.17311e-019,
123,2.56292e-021,1.36512e-019,
124,2.62771e-021,1.47402e-019,
125,2.63316e-021,1.47452e-019,
126,2.5783e-021,1.36705e-019,
127,2.46397e-021,1.17702e-019,
128,2.29365e-021,9.45517e-020,
129,2.07451e-021,7.14709e-020,
130,1.82129e-021,5.15663e-020,
131,1.55868e-021,3.6403e-020,
132,1.31482e-021,2.61806e-020,
133,1.1242e-021,2.02504e-020,
134,1.02843e-021,1.79179e-020,
135,1.04631e-021,1.88638e-020,
136,1.16322e-021,2.30439e-020,
137,1.35177e-021,3.06871e-020,
138,1.57683e-021,4.20627e-020,
139,1.80726e-021,5.71471e-020,
140,2.02096e-021,7.51737e-020,
141,2.20284e-021,9.43313e-020,
142,2.34262e-021,1.11861e-019,
143,2.43384e-021,1.24622e-019,
144,2.4726e-021,1.30001e-019,
145,2.45721e-021,1.2679e-019,
146,2.38782e-021,1.15635e-019,
147,2.26712e-021,9.88404e-020,
148,2.10036e-021,7.95848e-020,
149,1.8963e-021,6.09439e-020,
150,1.66893e-021,4.51004e-020,
151,1.44033e-021,3.30991e-020,
152,1.24026e-021,2.5018e-020,
153,1.10134e-021,2.0465e-020,
154,1.04791e-021,1.89763e-020,
155,1.09292e-021,2.03144e-020,
156,1.22128e-021,2.461e-020,
157,1.40064e-021,3.21714e-020,
158,1.60185e-021,4.32528e-020,
159,1.80118e-021,5.76161e-020,
160,1.98092e-021,7.411e-020,
161,2.12937e-021,9.06235e-020,
162,2.23888e-021,1.04418e-019,
163,2.30459e-021,1.12858e-019,
164,2.32364e-021,1.14262e-019,
165,2.29469e-021,1.08427e-019,
166,2.21857e-021,9.6723e-020,
167,2.0981e-021,8.15404e-020,
168,1.93974e-021,6.55367e-020,
169,1.75504e-021,5.09004e-020,
170,1.55933e-021,3.89684e-020,
171,1.37102e-021,3.01743e-020,
172,1.21631e-021,2.44232e-020,
173,1.12049e-021,2.14774e-020,
174,1.09657e-021,2.10742e-020,
175,1.14567e-021,2.30921e-020,
176,1.25842e-021,2.76463e-020,
177,1.41395e-021,3.49601e-020,
178,1.58789e-021,4.50462e-020,
179,1.75983e-021,5.74416e-020,
180,1.91424e-021,7.09852e-020,
181,2.04021e-021,8.38555e-020,
182,2.13064e-021,9.39608e-020,
183,2.18099e-021,9.94571e-020,
184,2.18893e-021,9.93271e-020,
185,2.15401e-021,9.36871e-020,
186,2.07803e-021,8.3752e-020,
187,1.96488e-021,7.13866e-020,
188,1.82205e-021,5.858e-020,
189,1.66164e-021,4.69359e-020,
190,1.49926e-021,3.74611e-020,
191,1.35325e-021,3.05583e-020,
192,1.24349e-021,2.62493e-020,
193,1.18323e-021,2.44031e-020,
194,1.17719e-021,2.48601e-020,
195,1.22351e-021,2.7524e-020,
196,1.31357e-021,3.22975e-020,
197,1.43453e-021,3.90477e-020,
198,1.57105e-021,4.75448e-020,
199,1.7068e-021,5.72805e-020,
200,1.82862e-021,6.7373e-020,
201,1.92756e-021,7.66027e-020,
202,1.99812e-021,8.36321e-020,
203,2.03666e-021,8.72817e-020,
204,2.04122e-021,8.68701e-020,
205,2.01133e-021,8.24303e-020,
206,1.94804e-021,7.47184e-020,
207,1.8547e-021,6.50368e-020,
208,1.73745e-021,5.48663e-020,
209,1.60637e-021,4.54988e-020,
210,1.47526e-021,3.78259e-020,
211,1.35904e-021,3.22492e-020,
212,1.27279e-021,2.87985e-020,
213,1.22797e-021,2.73683e-020,
214,1.2284e-021,2.78369e-020,
215,1.27063e-021,3.01327e-020,
216,1.34618e-021,3.42136e-020,
217,1.44389e-021,3.99746e-020,
218,1.55175e-021,4.71253e-020,
219,1.6586e-021,5.50859e-020,
220,1.75477e-021,6.29673e-020,
221,1.83286e-021,6.97262e-020,
222,1.88719e-021,7.43425e-020,
223,1.91412e-021,7.60799e-020,
224,1.912e-021,7.46865e-020,
225,1.88125e-021,7.0468e-020,
226,1.824e-021,6.4179e-020,
227,1.74427e-021,5.68184e-020,
228,1.64822e-021,4.94057e-020,
229,1.54397e-021,4.2739e-020,
230,1.44257e-021,3.73226e-020,
231,1.35655e-021,3.33886e-020,
232,1.29482e-021,3.10049e-020,
233,1.26256e-021,3.01325e-020,
234,1.2636e-021,3.07153e-020,
235,1.29831e-021,3.27123e-020,
236,1.36164e-021,3.60864e-020,
237,1.44324e-021,4.06952e-020,
238,1.53199e-021,4.62393e-020,
239,1.61864e-021,5.22363e-020,
240,1.69591e-021,5.80505e-020,
241,1.758e-021,6.2963e-020,
242,1.80047e-021,6.63049e-020,
243,1.82043e-021,6.75917e-020,
244,1.8166e-021,6.66543e-020,
245,1.78947e-021,6.36742e-020,
246,1.74117e-021,5.91437e-020,
247,1.67542e-021,5.37242e-020,
248,1.59768e-021,4.8108e-020,
249,1.51486e-021,4.28916e-020,
250,1.43478e-021,3.85098e-020,
251,1.36509e-021,3.52108e-020,
252,1.31312e-021,3.31044e-020,
253,1.28446e-021,3.2195e-020,
254,1.28214e-021,3.24522e-020,
255,1.30519e-021,3.38378e-020,
256,1.34922e-021,3.62829e-020,
257,1.40814e-021,3.9658e-020,
258,1.47509e-021,4.37337e-020,
259,1.543e-021,4.81685e-020,
260,1.60521e-021,5.25159e-020,
261,1.65598e-021,5.62613e-020,
262,1.69135e-021,5.89159e-020,
263,1.70908e-021,6.01155e-020,
264,1.70838e-021,5.97038e-020,
265,1.68967e-021,5.7771e-020,
266,1.65484e-021,5.46434e-020,
267,1.60685e-021,5.07841e-020,
268,1.54992e-021,4.67003e-020,
269,1.48913e-021,4.284e-020,
270,1.42994e-021,3.9533e-020,
271,1.3779e-021,3.69938e-020,
272,1.33837e-021,3.53197e-020,
273,1.31615e-021,3.45603e-020,
274,1.31335e-021,3.47085e-020,
275,1.32935e-021,3.57175e-020,
276,1.36099e-021,3.75155e-020,
277,1.40309e-021,3.99819e-020,
278,1.45019e-021,4.29251e-020,
279,1.49848e-021,4.60701e-020,
280,1.54518e-021,4.91164e-020,
281,1.5855e-021,5.1756e-020,
282,1.61474e-021,5.36791e-020,
283,1.63051e-021,5.46542e-020,
284,1.63226e-021,5.45752e-020,
285,1.62045e-021,5.3467e-020,
286,1.59621e-021,5.14864e-020,
287,1.56127e-021,4.88881e-020,
288,1.51829e-021,4.59818e-020,
289,1.47132e-021,4.30792e-020,
290,1.4258e-021,4.0461e-020,
291,1.38685e-021,3.83547e-020,
292,1.35794e-021,3.69036e-020,
293,1.34108e-021,3.61719e-020,
294,1.33688e-021,3.61566e-020,
295,1.34481e-021,3.68231e-020,
296,1.36325e-021,3.80904e-020,
297,1.39082e-021,3.983e-020,
298,1.42657e-021,4.1903e-020,
299,1.46616e-021,4.41672e-020,
300,1.5033e-021,4.64297e-020,
301,1.53386e-021,4.84626e-020,
302,1.55559e-021,5.00318e-020,
303,1.56725e-021,5.09406e-020,
304,1.56814e-021,5.10517e-020,
305,1.55809e-021,5.0328e-020,
306,1.53801e-021,4.88499e-020,
307,1.50967e-021,4.67998e-020,
308,1.47545e-021,4.44203e-020,
309,1.43821e-021,4.19854e-020,
310,1.40104e-021,3.97425e-020,
311,1.36714e-021,3.78879e-020,
312,1.33979e-021,3.65603e-020,
313,1.32212e-021,3.58441e-020,
314,1.31612e-021,3.5747e-020,
315,1.3228e-021,3.62437e-020,
316,1.34129e-021,3.72704e-020,
317,1.36898e-021,3.87362e-020,
318,1.40229e-021,4.05302e-020,
319,1.43731e-021,4.25154e-020,
320,1.47058e-021,4.45313e-020,
321,1.49945e-021,4.64013e-020,
322,1.52201e-021,4.79416e-020,
323,1.53658e-021,4.89762e-020,
324,1.54214e-021,4.9375e-020,
325,1.53842e-021,4.90844e-020,
326,1.5259e-021,4.81424e-020,
327,1.50575e-021,4.66818e-020,
328,1.47911e-021,4.48732e-020,
329,1.44762e-021,4.29122e-020,
330,1.41355e-021,4.0983e-020,
331,1.37962e-021,3.92324e-020,
332,1.34915e-021,3.7784e-020,
333,1.32486e-021,3.6714e-020,
334,1.30921e-021,3.60877e-020,
335,1.30366e-021,3.5927e-020,
336,1.30903e-021,3.62274e-020,
337,1.32499e-021,3.69557e-020,
338,1.34949e-021,3.80644e-020,
339,1.37911e-021,3.9482e-020,
340,1.41024e-021,4.11062e-020,
341,1.44012e-021,4.28157e-020,
342,1.46653e-021,4.44508e-020,
343,1.4879e-021,4.58511e-020,
344,1.50295e-021,4.68726e-020,
345,1.51036e-021,4.74015e-020,
346,1.50922e-021,4.73829e-020,
347,1.49908e-021,4.68126e-020,
